experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p7b1_14req,7,1,1.0,14,14,100.0,0.0824,64290.4286,0.0,64290.4286,169.954,14,1.0,100.0,0.4119
p7b2_56req,7,2,1.0,56,56,100.0,0.1123,107610.5179,766.125,106844.3929,498.705,28,2.0,100.0,0.6417
p7b4_112req,7,4,1.0,112,112,100.0,0.167,177447.8661,2557.9732,174889.8929,670.477,28,4.0,100.0,1.1932
p7b4_112req,7,4,5.0,112,112,100.0,0.1584,181440.4196,314.7411,181125.6786,707.043,28,4.0,100.0,1.1315
p8b1_32req,8,1,2.5,32,32,100.0,0.1291,52568.1563,0.0,52568.1563,247.808,32,1.0,100.0,0.565
p8b1_16req,8,1,0.5,16,16,100.0,0.1235,57217.25,0.0,57217.25,129.506,16,1.0,100.0,0.5405
p8b1_16req,8,1,0.5,16,16,100.0,0.1094,66021.5625,0.0,66021.5625,146.241,16,1.0,100.0,0.4787
p8b1_16req,8,1,1.0,16,16,100.0,0.1467,61957.375,0.0,61957.375,109.082,16,1.0,100.0,0.6417
p8b1_16req,8,1,0.5,16,16,100.0,0.1719,57085.0,0.0,57085.0,93.091,16,1.0,100.0,0.752
p8b1_16req,8,1,0.6667,16,16,100.0,0.0827,71865.75,0.0,71865.75,193.45,16,1.0,100.0,0.3619
p8b1_16req,8,1,0.5,16,16,100.0,0.1216,60074.375,0.0,60074.375,131.572,16,1.0,100.0,0.532
p8b2_64req,8,2,0.5,64,64,100.0,0.0888,122168.5156,1926.8906,120241.625,721.005,32,2.0,100.0,0.4438
p8b4_128req,8,4,2.0,128,128,100.0,0.1659,192115.7109,1420.8984,190694.8125,771.7,32,4.0,100.0,1.0367
p8b4_128req,8,4,1.0,128,128,100.0,0.1875,179050.2813,2944.125,176106.1563,682.731,32,4.0,100.0,1.1718
p8b4_128req,8,4,5.0,128,128,100.0,0.1546,203448.8359,414.9609,203033.875,828.064,32,4.0,100.0,0.9661
p9b1_36req,9,1,4.0,36,36,100.0,0.156,52738.5556,0.0,52738.5556,230.809,36,1.0,100.0,0.6066
p9b1_36req,9,1,2.5,36,36,100.0,0.1232,51605.4444,0.0,51605.4444,292.239,36,1.0,100.0,0.4791
p9b1_18req,9,1,1.0,18,18,100.0,0.1639,61578.7222,0.0,61578.7222,109.829,18,1.0,100.0,0.6374
p9b1_18req,9,1,0.5,18,18,100.0,0.1567,54730.2778,0.0,54730.2778,114.85,18,1.0,100.0,0.6095
p9b1_18req,9,1,0.6667,18,18,100.0,0.1635,60885.8333,0.0,60885.8333,110.125,18,1.0,100.0,0.6356
p9b1_18req,9,1,1.0,18,18,100.0,0.1245,62506.7222,0.0,62506.7222,144.535,18,1.0,100.0,0.4843
