experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p19b1_19req,19,1,2.0,19,19,100.0,1.5307,7350.0,0.0,7350.0,12.413,19,1.0,100.0,2.8196
p19b2_38req,19,2,2.0,38,38,100.0,1.4681,11521.3421,4474.6053,7046.7368,25.884,19,2.0,100.0,3.0907
p19b4_76req,19,4,2.0,76,76,100.0,1.723,23703.5132,14068.5132,9635.0,44.11,19,4.0,100.0,4.5341
p19b8_152req,19,8,2.0,152,152,100.0,1.8006,44345.6316,33132.7368,11212.8947,84.418,19,8.0,100.0,6.6337
p19b8_152req,19,8,2.0,152,152,100.0,1.8156,43963.8158,33153.7632,10810.0526,83.718,19,8.0,100.0,6.6891
p1b1_1req,1,1,2.0,1,1,100.0,0.1335,7468.0,0.0,7468.0,7.488,1,1.0,100.0,4.6741
p1b1_1req,1,1,2.0,1,1,100.0,0.1748,5692.0,0.0,5692.0,5.72,1,1.0,100.0,6.1189
p1b2_2req,1,2,2.0,2,2,100.0,0.2122,9404.5,0.5,9404.0,9.425,1,2.0,100.0,8.4881
p1b2_2req,1,2,2.0,2,2,100.0,0.1532,13022.0,0.0,13022.0,13.053,1,2.0,100.0,6.1289
p1b4_4req,1,4,2.0,4,4,100.0,0.3191,12514.0,0.0,12514.0,12.534,1,4.0,100.0,15.9566
p1b4_4req,1,4,2.0,4,4,100.0,0.249,16045.0,0.0,16045.0,16.066,1,4.0,100.0,12.4486
p1b8_8req,1,8,2.0,8,8,100.0,0.5512,14443.0,343.0,14100.0,14.514,1,8.0,100.0,38.5834
p2b1_2req,2,1,2.0,2,2,100.0,0.2207,7965.0,0.0,7965.0,9.061,2,1.0,100.0,3.8627
p2b1_2req,2,1,2.0,2,2,100.0,0.204,8831.0,0.0,8831.0,9.804,2,1.0,100.0,3.57
p2b2_4req,2,2,2.0,4,4,100.0,0.4337,8548.0,0.0,8548.0,9.222,2,2.0,100.0,8.6749
p2b2_4req,2,2,2.0,4,4,100.0,0.3261,11264.5,0.0,11264.5,12.268,2,2.0,100.0,6.521
p2b4_8req,2,4,2.0,8,8,100.0,0.5056,15195.625,164.625,15031.0,15.823,2,4.0,100.0,12.6398
p2b4_8req,2,4,2.0,8,8,100.0,0.5557,12687.0,162.0,12525.0,14.395,2,4.0,100.0,13.8937
p3b1_3req,3,1,2.0,3,3,100.0,0.2771,8843.0,0.0,8843.0,10.827,3,1.0,100.0,3.2327
